feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
glrlm_LowGrayLevelRunEmphasis,glrlm,original_glrlm_LowGrayLevelRunEmphasis,410,0.9998611735508989,0.9998160017065064,0.9998164504004592,0.0014293106518422924,0.0008465797353418014,0.014144827974304386,0.003232294821897845,0.04161753575618114,0.0,0.5536585365853659,1.0046852273047926,-0.0003737406033468862,0.2850580949495714,0.11705328416869552,discrepant
glrlm_RunEntropy,glrlm,original_glrlm_RunEntropy,410,0.971322035094434,0.78785483755176,0.788262706136757,0.2499527587262152,0.23585847835563345,0.7695103816326014,0.06402598981226218,0.30328068172323114,0.0,0.0,0.9557370452534747,0.41089856608737496,3.6361288640314786,0.3693356762124836,discrepant
glrlm_RunLengthNonUniformity,glrlm,original_glrlm_RunLengthNonUniformity,410,0.9987795480784415,0.15593120436528352,0.15625288285955125,57.298224165995244,53.25612636108224,196.90720389748518,2.787223435920705,2.9743326959349803,0.0,0.0,3.9411034576171815,-2.8781126982888834,20.460462452768546,9.829603250149054,discrepant
glrlm_RunLengthNonUniformityNormalized,glrlm,original_glrlm_RunLengthNonUniformityNormalized,410,0.9946851897721036,0.991051266776227,0.9910728981103015,0.00792005672036073,0.00619989986194569,0.09779586306117641,0.02393964707104431,0.43659620291731677,0.0,0.06097560975609756,1.0410924688690435,-0.017024490686789736,0.2642440565854076,0.0831512832544727,discrepant
glrlm_RunPercentage,glrlm,original_glrlm_RunPercentage,410,1.0,1.0,1.0,1.6382559265810236e-17,0.0,1.1102230246251565e-16,0.0,6.192229827486788e-16,1.0,1.0,1.0000000000000007,4.386400561216375e-17,0.3655996766661455,0.08604183539346268,exact
glrlm_RunVariance,glrlm,original_glrlm_RunVariance,410,0.9966645609514313,0.9943582843505501,0.9943719671893031,0.2561392120505915,0.15278243286641446,3.6712640562435253,0.027066433278180303,0.4198550984515814,0.0,0.012195121951219513,0.9677310857563414,-0.0318898028138815,6.63209206932304,4.063882671335706,discrepant
glrlm_ShortRunEmphasis,glrlm,original_glrlm_ShortRunEmphasis,410,0.9966772329310164,0.9912623492119326,0.9912834747944567,0.011420981648771315,0.009287793694038898,0.05461036542806619,0.021803510685446913,0.11630289786652623,0.0,0.04878048780487805,1.0075257460989948,0.007828742453082285,0.47633548126116104,0.10919321707763249,discrepant
glrlm_ShortRunHighGrayLevelEmphasis,glrlm,original_glrlm_ShortRunHighGrayLevelEmphasis,410,0.9993888590691489,0.9988847047602538,0.9988874219660756,0.06698926227732141,0.04638053608428183,0.3761042132675607,0.013881008961975604,0.125537420523079,0.0,0.05609756097560976,1.0061946857889688,0.03760087995702606,4.100835562534663,2.0230152731072426,discrepant
glrlm_ShortRunLowGrayLevelEmphasis,glrlm,original_glrlm_ShortRunLowGrayLevelEmphasis,410,0.9962611310720263,0.9891287270225408,0.9891549547628592,0.0039041304357246673,0.0029434756794469025,0.026769179011438077,0.03114480289609302,0.16629362821486698,0.0,0.15853658536585366,1.0530746130677915,-0.0017203060865275818,0.10530354606327258,0.03532751558378437,discrepant
glszm_GrayLevelNonUniformity,glszm,original_glszm_GrayLevelNonUniformity,410,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0527361346919292e-15,4.1064299451537964,2.0159881656712044,exact
glszm_GrayLevelNonUniformityNormalized,glszm,original_glszm_GrayLevelNonUniformityNormalized,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999997,-4.386400561216373e-17,0.36758339888723124,0.10030796933614745,exact
glszm_GrayLevelVariance,glszm,original_glszm_GrayLevelVariance,410,1.0,0.9999999999999998,1.0,7.324764101490362e-17,0.0,6.661338147750939e-16,0.0,5.70140732296587e-16,1.0,1.0,1.0,-8.772801122432752e-17,0.961173437510703,0.3881008844415301,exact
glszm_HighGrayLevelZoneEmphasis,glszm,original_glszm_HighGrayLevelZoneEmphasis,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-1.4036481795892391e-15,9.441658975343525,3.5063724984963716,exact
glszm_LargeAreaEmphasis,glszm,original_glszm_LargeAreaEmphasis,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999994,1.7966696698742276e-13,2196.1105255176476,2140.808729642308,exact
glszm_LargeAreaHighGrayLevelEmphasis,glszm,original_glszm_LargeAreaHighGrayLevelEmphasis,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-1.4373357358993815e-12,12655.957628419981,17458.948955298365,exact
glszm_LargeAreaLowGrayLevelEmphasis,glszm,original_glszm_LargeAreaLowGrayLevelEmphasis,410,0.9999999999999999,1.0,1.0,2.3187955620658878e-14,0.0,9.094947017729282e-13,0.0,5.497818669356547e-16,1.0,1.0,0.9999999999999993,8.983348349371128e-14,618.6097730106779,862.634147733357,exact
